time_s,target,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23,O24,O25,O26,O27,O28
33,27.32214734875208,31.676162077048843,35.74509896390527,21.83809634806287,28.691784089733382,20.41741428474281,21.14978805538337,34.5103144126366,36.05390411370337,21.305395091742565,10.223409414768911,28.566691633772912,31.819607290326246,18.828981364168207,14.923136968899852,20.448186401184387,29.45355336162045,30.167503715674027,14.278094875987087,15.105932577043053,27.272090155637795,30.359700883855496,32.92374395198104,35.300932934395725,31.8572673946884,28.24794868774547,23.28387550321073,24.80859662219526,18.95873545490144
34,29.09689709694493,34.669249361447385,34.586415888804225,22.958022637859976,28.590359523061228,20.144060661542213,24.870544604768163,33.379719321162,39.019490732873976,19.992271597022523,11.020572559458442,28.20725565879618,37.055530496702346,17.82629596750214,18.04533952904974,20.90004478164084,32.59372973050384,29.55811749384188,15.13864181297726,15.569761514531601,25.731506548462697,29.252393369679794,26.479636172268968,31.758463356744745,32.26189222447418,32.127895132457105,25.077557989141997,18.640684892464016,22.323588255271325
35,31.381921872218715,38.016574232106805,38.14907664117605,20.421538732061098,29.399405744956972,20.469885663156635,24.330293971822524,31.21506537849512,40.98416461195822,22.54326709167757,11.722417112188465,30.44121760395016,36.6600859475508,18.560559692800666,20.257241550908923,23.68807350282886,40.05030393131459,28.992686585531974,14.872436738884996,14.967574940987157,22.411972279164765,34.353830280140194,20.917673921929367,24.671964784358053,30.891800255899955,26.359372374486334,32.5827810315851,14.901007769609334,25.442901406249675
36,34.09297028227267,40.90489249409464,42.759931521427156,19.543487194917777,31.37344838671736,23.67156841334156,24.242063982602488,33.473578623934,42.280592006360756,26.04449851336244,15.739370572449959,33.74165684965867,34.4613284219318,20.729191366749703,22.852123538274235,26.59720601533047,43.73856633018222,34.291604941986,15.380784108243251,19.758371600387058,18.267647667869166,42.447079191000654,19.23013352803583,17.194736225721748,27.938055198832075,20.31595097765829,38.314271062638035,17.364783924512686,29.260636595095804
37,37.0066902106288,41.13722530178764,44.310819340157025,23.976668200742907,36.666973768208,28.561448372486396,26.147141836763947,38.979628860260824,42.11856827159117,28.586947280579324,22.859969020870334,36.13686107513827,35.442176724477825,24.222511614463816,27.870147389249677,31.378786182864562,37.265784163500584,43.61489372035781,17.03683156141701,27.319869501919626,18.688254928244554,45.28366987239425,21.11634492168872,15.187548966882018,26.248408270283537,23.165743673385645,38.19912473436694,22.78255669647023,34.864009382904946
38,39.853427552573656,38.91623548361055,43.92571892367393,31.044134205312226,43.793205411455055,32.903664676764016,27.882632788810504,42.33838001304378,42.717553205069834,30.437024523068875,29.212291395882676,40.37302288780077,39.24143543247307,30.546683411802917,33.115218998158674,37.4720136029336,27.307377690563513,47.25088178581214,16.28807202921748,29.251906232044895,20.71404817411923,41.80189958679898,27.915709905274365,16.931635105736564,30.180040089342583,29.670623510318904,36.231169734802876,25.25714669479744,39.61973252473123
39,42.449744772046195,37.42750511832223,43.88633877784083,37.01932702267021,49.76587273044092,35.73547988297399,31.123655346451976,42.9759201732929,47.03326807313874,31.538135405342683,31.677975653370023,46.411829021427806,43.41784565906899,36.359012394013064,34.69692111965172,41.87537587530612,24.96393599364452,44.28389267158319,16.073622875226036,27.258681785145285,24.089319130639865,38.60704148155666,34.62037882213547,16.56808016479274,36.76189508703065,34.46285248058676,32.169993044448766,24.528926943594904,41.66365864741145
40,44.7688757758726,39.080797653663424,46.24694950208788,40.429130508550585,53.12746698767492,37.440199775405475,36.81163353333072,44.35130024375085,52.96173698252599,34.56543910836894,30.824555417566383,50.74052898620482,45.85728729640891,36.47790178262247,34.04189604608116,44.475338435423,29.702040895378637,44.261295206534946,21.79925147776423,26.85121085410059,32.21896117750252,38.33659512562793,34.34060880242238,13.866451711127622,37.713927670516206,37.07951241287847,25.90609808855021,26.081874585639504,40.87365416179764
41,46.89497377145741,42.55957781381929,49.83076210517744,41.194381649220034,55.56054845480231,38.24219274821844,42.089883849204504,46.90646726921175,56.20452611282023,40.360792911860386,29.758438488624343,52.03477823124493,47.46027802063365,33.710461686742484,34.384183645602945,47.40724877743685,34.387530878058975,47.586992728534454,28.744953294702977,24.743124882497536,40.48013940495007,38.69452515427176,33.05961887454383,13.543542503772724,33.4184954767982,39.127757245438644,21.286653289324143,29.34605513714059,39.860335475448096
42,48.908940530114094,44.8608074341001,51.535960459503,41.66092733250847,58.617357657010544,38.54289674054808,44.339456479701994,50.080668616354075,55.46972575212248,44.22910378618967,30.246866097302373,52.76797470421418,50.082737783425955,34.34923004060234,35.31405214724339,50.60256105025075,39.162785282808784,45.494836186585836,31.517456363919635,20.540156845428097,43.298339168425144,39.57512477080898,34.40874940550552,19.247589676856357,29.05683644119678,43.22366183503458,20.308211963393088,30.82965570791557,41.63989261516909
